OBJECTID	Shape_Leng	Shape_Area	i	j	id	geometry
1	366105.8018189999856986	3952898447.4800000190734863	958010	7800	958010-7800	LINESTRING(829.879 7295.976, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958010	7809	958010-7809	LINESTRING(829.879 7295.976, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958010	400401	958010-400401	LINESTRING(829.879 7295.976, 830.1072 7296.045)
1	366105.8018189999856986	3952898447.4800000190734863	958012	7800	958012-7800	LINESTRING(830.333 7296.245, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958012	7809	958012-7809	LINESTRING(830.333 7296.245, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958012	400401	958012-400401	LINESTRING(830.333 7296.245, 830.1072 7296.045)
1	366105.8018189999856986	3952898447.4800000190734863	958013	7800	958013-7800	LINESTRING(828.183 7298.138, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958013	7809	958013-7809	LINESTRING(828.183 7298.138, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958013	204548	958013-204548	LINESTRING(828.183 7298.138, 828.260986 7297.660156)
1	366105.8018189999856986	3952898447.4800000190734863	958013	204583	958013-204583	LINESTRING(828.183 7298.138, 827.340942 7298.379883)
1	366105.8018189999856986	3952898447.4800000190734863	958014	7800	958014-7800	LINESTRING(832.183 7292.676, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958014	204300	958014-204300	LINESTRING(832.183 7292.676, 832.254028 7292.689941)
1	366105.8018189999856986	3952898447.4800000190734863	958014	400412	958014-400412	LINESTRING(832.183 7292.676, 831.8915 7292.49)
1	366105.8018189999856986	3952898447.4800000190734863	958014	400418	958014-400418	LINESTRING(832.183 7292.676, 831.7565 7293.225)
1	366105.8018189999856986	3952898447.4800000190734863	958015	7800	958015-7800	LINESTRING(829.073 7292.09, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958015	204247	958015-204247	LINESTRING(829.073 7292.09, 828.669983 7291.80957)
1	366105.8018189999856986	3952898447.4800000190734863	958015	204275	958015-204275	LINESTRING(829.073 7292.09, 828.986023 7292.189941)
1	366105.8018189999856986	3952898447.4800000190734863	958015	400430	958015-400430	LINESTRING(829.073 7292.09, 829.3394 7292.259)
1	366105.8018189999856986	3952898447.4800000190734863	958016	7800	958016-7800	LINESTRING(828.714 7292.268, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958016	204275	958016-204275	LINESTRING(828.714 7292.268, 828.986023 7292.189941)
1	366105.8018189999856986	3952898447.4800000190734863	958016	400477	958016-400477	LINESTRING(828.714 7292.268, 828.5438 7292.254)
1	366105.8018189999856986	3952898447.4800000190734863	958017	400428	958017-400428	LINESTRING(829.523 7292.267, 829.8466 7292.341)
1	366105.8018189999856986	3952898447.4800000190734863	958017	400430	958017-400430	LINESTRING(829.523 7292.267, 829.3394 7292.259)
1	366105.8018189999856986	3952898447.4800000190734863	958017	400432	958017-400432	LINESTRING(829.523 7292.267, 829.4978 7292.496)
1	366105.8018189999856986	3952898447.4800000190734863	958018	7800	958018-7800	LINESTRING(829.244 7293.066, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958018	400433	958018-400433	LINESTRING(829.244 7293.066, 829.3163 7292.96)
1	366105.8018189999856986	3952898447.4800000190734863	958018	400435	958018-400435	LINESTRING(829.244 7293.066, 829.3479 7293.293)
1	366105.8018189999856986	3952898447.4800000190734863	958019	7800	958019-7800	LINESTRING(831.795 7291.853, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958019	204244	958019-204244	LINESTRING(831.795 7291.853, 831.588989 7291.790039)
1	366105.8018189999856986	3952898447.4800000190734863	958019	400420	958019-400420	LINESTRING(831.795 7291.853, 831.6039 7292.32)
1	366105.8018189999856986	3952898447.4800000190734863	958019	400423	958019-400423	LINESTRING(831.795 7291.853, 831.8267 7291.867)
1	366105.8018189999856986	3952898447.4800000190734863	958020	7808	958020-7808	LINESTRING(822.857 7297.224, 818.250977 7301.100098)
1	366105.8018189999856986	3952898447.4800000190734863	958020	7809	958020-7809	LINESTRING(822.857 7297.224, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958020	204521	958020-204521	LINESTRING(822.857 7297.224, 823.207031 7297.189941)
1	366105.8018189999856986	3952898447.4800000190734863	958020	204551	958020-204551	LINESTRING(822.857 7297.224, 822.6017 7297.814)
1	366105.8018189999856986	3952898447.4800000190734863	958020	400463	958020-400463	LINESTRING(822.857 7297.224, 822.8339 7296.918)
1	366105.8018189999856986	3952898447.4800000190734863	958021	204039	958021-204039	LINESTRING(813.919 7283.674, 813.998047 7284)
1	366105.8018189999856986	3952898447.4800000190734863	958022	7800	958022-7800	LINESTRING(831.66 7292.609, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958022	204267	958022-204267	LINESTRING(831.66 7292.609, 831.252014 7292.080078)
1	366105.8018189999856986	3952898447.4800000190734863	958022	400412	958022-400412	LINESTRING(831.66 7292.609, 831.8915 7292.49)
1	366105.8018189999856986	3952898447.4800000190734863	958022	400413	958022-400413	LINESTRING(831.66 7292.609, 831.5997 7292.886)
1	366105.8018189999856986	3952898447.4800000190734863	958023	7808	958023-7808	LINESTRING(821.811 7298.175, 818.250977 7301.100098)
1	366105.8018189999856986	3952898447.4800000190734863	958023	204572	958023-204572	LINESTRING(821.811 7298.175, 821.979004 7298.200195)
1	366105.8018189999856986	3952898447.4800000190734863	958023	204610	958023-204610	LINESTRING(821.811 7298.175, 820.38501 7299.160156)
1	366105.8018189999856986	3952898447.4800000190734863	958024	7800	958024-7800	LINESTRING(823.768 7291.891, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958024	204236	958024-204236	LINESTRING(823.768 7291.891, 825.088989 7291.47998)
1	366105.8018189999856986	3952898447.4800000190734863	958024	204246	958024-204246	LINESTRING(823.768 7291.891, 823.697021 7291.80957)
1	366105.8018189999856986	3952898447.4800000190734863	958025	7800	958025-7800	LINESTRING(827.985 7296.054, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958025	7809	958025-7809	LINESTRING(827.985 7296.054, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958025	400455	958025-400455	LINESTRING(827.985 7296.054, 827.8685 7296.02)
1	366105.8018189999856986	3952898447.4800000190734863	958025	400456	958025-400456	LINESTRING(827.985 7296.054, 828.0371 7296.009)
1	366105.8018189999856986	3952898447.4800000190734863	958027	7800	958027-7800	LINESTRING(835.63 7297.481, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958027	204600	958027-204600	LINESTRING(835.63 7297.481, 832.315979 7298.77002)
1	366105.8018189999856986	3952898447.4800000190734863	958027	400414	958027-400414	LINESTRING(835.63 7297.481, 833.0979 7293.912)
1	366105.8018189999856986	3952898447.4800000190734863	958029	7800	958029-7800	LINESTRING(832.996 7293.038, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958029	204318	958029-204318	LINESTRING(832.996 7293.038, 832.735046 7293.359863)
1	366105.8018189999856986	3952898447.4800000190734863	958029	400466	958029-400466	LINESTRING(832.996 7293.038, 833.3587 7293.507)
1	366105.8018189999856986	3952898447.4800000190734863	958031	7800	958031-7800	LINESTRING(834.073 7292.916, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958031	400469	958031-400469	LINESTRING(834.073 7292.916, 833.7623 7292.775)
1	366105.8018189999856986	3952898447.4800000190734863	958031	400471	958031-400471	LINESTRING(834.073 7292.916, 834.2889 7293.109)
1	366105.8018189999856986	3952898447.4800000190734863	958032	7800	958032-7800	LINESTRING(834.32 7292.688, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958032	400471	958032-400471	LINESTRING(834.32 7292.688, 834.2889 7293.109)
1	366105.8018189999856986	3952898447.4800000190734863	958032	400473	958032-400473	LINESTRING(834.32 7292.688, 834.4815 7292.562)
1	366105.8018189999856986	3952898447.4800000190734863	958033	7800	958033-7800	LINESTRING(834.583 7292.431, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958033	400472	958033-400472	LINESTRING(834.583 7292.431, 834.5662 7292.858)
1	366105.8018189999856986	3952898447.4800000190734863	958033	400473	958033-400473	LINESTRING(834.583 7292.431, 834.4815 7292.562)
1	366105.8018189999856986	3952898447.4800000190734863	958034	205532	958034-205532	LINESTRING(839.152 7326.931, 840.999023 7326.240234)
1	366105.8018189999856986	3952898447.4800000190734863	958035	7800	958035-7800	LINESTRING(829.15 7294.208, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958035	7809	958035-7809	LINESTRING(829.15 7294.208, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958035	400439	958035-400439	LINESTRING(829.15 7294.208, 829.1362 7294.029)
1	366105.8018189999856986	3952898447.4800000190734863	958035	400441	958035-400441	LINESTRING(829.15 7294.208, 829.5472 7294.245)
1	366105.8018189999856986	3952898447.4800000190734863	958037	204356	958037-204356	LINESTRING(795.093 7294.537, 794.607971 7294.140137)
1	366105.8018189999856986	3952898447.4800000190734863	958037	204385	958037-204385	LINESTRING(795.093 7294.537, 795.108948 7294.649902)
1	366105.8018189999856986	3952898447.4800000190734863	958038	7800	958038-7800	LINESTRING(829.43 7294.479, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958038	7809	958038-7809	LINESTRING(829.43 7294.479, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958038	400440	958038-400440	LINESTRING(829.43 7294.479, 829.2319 7294.656)
1	366105.8018189999856986	3952898447.4800000190734863	958038	400441	958038-400441	LINESTRING(829.43 7294.479, 829.5472 7294.245)
1	366105.8018189999856986	3952898447.4800000190734863	958039	7800	958039-7800	LINESTRING(826.861 7294.527, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958039	7809	958039-7809	LINESTRING(826.861 7294.527, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958039	400450	958039-400450	LINESTRING(826.861 7294.527, 827.0853 7294.577)
1	366105.8018189999856986	3952898447.4800000190734863	958039	400451	958039-400451	LINESTRING(826.861 7294.527, 826.6833 7294.849)
1	366105.8018189999856986	3952898447.4800000190734863	958041	7800	958041-7800	LINESTRING(831.291 7291.668, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958041	204244	958041-204244	LINESTRING(831.291 7291.668, 831.588989 7291.790039)
1	366105.8018189999856986	3952898447.4800000190734863	958041	204265	958041-204265	LINESTRING(831.291 7291.668, 831.154968 7292.02002)
1	366105.8018189999856986	3952898447.4800000190734863	958042	7800	958042-7800	LINESTRING(832.83 7293.832, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958042	204318	958042-204318	LINESTRING(832.83 7293.832, 832.735046 7293.359863)
1	366105.8018189999856986	3952898447.4800000190734863	958042	400414	958042-400414	LINESTRING(832.83 7293.832, 833.0979 7293.912)
1	366105.8018189999856986	3952898447.4800000190734863	958042	400415	958042-400415	LINESTRING(832.83 7293.832, 832.6433 7293.638)
1	366105.8018189999856986	3952898447.4800000190734863	958043	7800	958043-7800	LINESTRING(830.404 7294.43, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958043	204362	958043-204362	LINESTRING(830.404 7294.43, 830.708984 7294.200195)
1	366105.8018189999856986	3952898447.4800000190734863	958043	400404	958043-400404	LINESTRING(830.404 7294.43, 830.3382 7294.563)
1	366105.8018189999856986	3952898447.4800000190734863	958043	400405	958043-400405	LINESTRING(830.404 7294.43, 830.2519 7294.172)
1	366105.8018189999856986	3952898447.4800000190734863	958044	7800	958044-7800	LINESTRING(830.419 7292.193, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958044	204271	958044-204271	LINESTRING(830.419 7292.193, 829.920044 7292.149902)
1	366105.8018189999856986	3952898447.4800000190734863	958044	400421	958044-400421	LINESTRING(830.419 7292.193, 830.4337 7292.015)
1	366105.8018189999856986	3952898447.4800000190734863	958044	400422	958044-400422	LINESTRING(830.419 7292.193, 830.9284 7292.205)
1	366105.8018189999856986	3952898447.4800000190734863	958045	7800	958045-7800	LINESTRING(829.473 7293.695, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958045	7809	958045-7809	LINESTRING(829.473 7293.695, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958045	204323	958045-204323	LINESTRING(829.473 7293.695, 829.682007 7293.429688)
1	366105.8018189999856986	3952898447.4800000190734863	958045	400438	958045-400438	LINESTRING(829.473 7293.695, 829.4564 7293.628)
1	366105.8018189999856986	3952898447.4800000190734863	958045	400439	958045-400439	LINESTRING(829.473 7293.695, 829.1362 7294.029)
1	366105.8018189999856986	3952898447.4800000190734863	958047	205831	958047-205831	LINESTRING(824.09 7333.276, 824.5 7332.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958047	205863	958047-205863	LINESTRING(824.09 7333.276, 822.452026 7333.389648)
1	366105.8018189999856986	3952898447.4800000190734863	958048	204769	958048-204769	LINESTRING(832.182 7306.678, 831.950012 7306.760254)
1	366105.8018189999856986	3952898447.4800000190734863	958048	204776	958048-204776	LINESTRING(832.182 7306.678, 833.710022 7307)
1	366105.8018189999856986	3952898447.4800000190734863	958051	7800	958051-7800	LINESTRING(828.978 7295.948, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958051	7809	958051-7809	LINESTRING(828.978 7295.948, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958051	204445	958051-204445	LINESTRING(828.978 7295.948, 828.755981 7295.75)
1	366105.8018189999856986	3952898447.4800000190734863	958051	204467	958051-204467	LINESTRING(828.978 7295.948, 828.632996 7296.040039)
1	366105.8018189999856986	3952898447.4800000190734863	958052	205394	958052-205394	LINESTRING(832.244 7323.257, 833.839966 7323.089844)
1	366105.8018189999856986	3952898447.4800000190734863	958052	205402	958052-205402	LINESTRING(832.244 7323.257, 832.070007 7323.260254)
1	366105.8018189999856986	3952898447.4800000190734863	958052	205454	958052-205454	LINESTRING(832.244 7323.257, 832.865967 7324.149902)
1	366105.8018189999856986	3952898447.4800000190734863	958053	7800	958053-7800	LINESTRING(827.711 7294.069, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958053	7809	958053-7809	LINESTRING(827.711 7294.069, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958053	400448	958053-400448	LINESTRING(827.711 7294.069, 828.0373 7294.149)
1	366105.8018189999856986	3952898447.4800000190734863	958053	400449	958053-400449	LINESTRING(827.711 7294.069, 827.5841 7294.339)
1	366105.8018189999856986	3952898447.4800000190734863	958054	7808	958054-7808	LINESTRING(825.349 7301.323, 818.250977 7301.100098)
1	366105.8018189999856986	3952898447.4800000190734863	958054	7809	958054-7809	LINESTRING(825.349 7301.323, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958054	204658	958054-204658	LINESTRING(825.349 7301.323, 825.540955 7300.939941)
1	366105.8018189999856986	3952898447.4800000190734863	958054	204675	958054-204675	LINESTRING(825.349 7301.323, 825.083008 7301.459961)
1	366105.8018189999856986	3952898447.4800000190734863	958054	204695	958054-204695	LINESTRING(825.349 7301.323, 825.825989 7302.549805)
1	366105.8018189999856986	3952898447.4800000190734863	958055	7800	958055-7800	LINESTRING(829.588 7292.024, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958055	204271	958055-204271	LINESTRING(829.588 7292.024, 829.920044 7292.149902)
1	366105.8018189999856986	3952898447.4800000190734863	958055	208387	958055-208387	LINESTRING(829.588 7292.024, 829.440979 7292)
1	366105.8018189999856986	3952898447.4800000190734863	958055	400432	958055-400432	LINESTRING(829.588 7292.024, 829.4978 7292.496)
1	366105.8018189999856986	3952898447.4800000190734863	958056	7800	958056-7800	LINESTRING(830.818 7292.625, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958056	204290	958056-204290	LINESTRING(830.818 7292.625, 830.875 7292.569824)
1	366105.8018189999856986	3952898447.4800000190734863	958056	400411	958056-400411	LINESTRING(830.818 7292.625, 830.5164 7293.213)
1	366105.8018189999856986	3952898447.4800000190734863	958057	204908	958057-204908	LINESTRING(822.677 7312.693, 822.864014 7312.919922)
1	366105.8018189999856986	3952898447.4800000190734863	958057	204928	958057-204928	LINESTRING(822.677 7312.693, 822.002991 7313.189941)
1	366105.8018189999856986	3952898447.4800000190734863	958058	7800	958058-7800	LINESTRING(831.239 7293.428, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958058	400408	958058-400408	LINESTRING(831.239 7293.428, 830.9615 7293.329)
1	366105.8018189999856986	3952898447.4800000190734863	958058	400409	958058-400409	LINESTRING(831.239 7293.428, 831.3286 7293.629)
1	366105.8018189999856986	3952898447.4800000190734863	958058	400418	958058-400418	LINESTRING(831.239 7293.428, 831.7565 7293.225)
1	366105.8018189999856986	3952898447.4800000190734863	958059	7808	958059-7808	LINESTRING(821.115 7298.435, 818.250977 7301.100098)
1	366105.8018189999856986	3952898447.4800000190734863	958059	204572	958059-204572	LINESTRING(821.115 7298.435, 821.979004 7298.200195)
1	366105.8018189999856986	3952898447.4800000190734863	958059	204610	958059-204610	LINESTRING(821.115 7298.435, 820.38501 7299.160156)
1	366105.8018189999856986	3952898447.4800000190734863	958060	7800	958060-7800	LINESTRING(829.705 7296.354, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958060	7809	958060-7809	LINESTRING(829.705 7296.354, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958060	400400	958060-400400	LINESTRING(829.705 7296.354, 830.0488 7296.413)
1	366105.8018189999856986	3952898447.4800000190734863	958060	400401	958060-400401	LINESTRING(829.705 7296.354, 830.1072 7296.045)
1	366105.8018189999856986	3952898447.4800000190734863	958062	7800	958062-7800	LINESTRING(832.258 7287.23, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958062	204155	958062-204155	LINESTRING(832.258 7287.23, 828.442017 7288.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958063	7800	958063-7800	LINESTRING(827.702 7290.566, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958063	204215	958063-204215	LINESTRING(827.702 7290.566, 827.880981 7290.720215)
1	366105.8018189999856986	3952898447.4800000190734863	958063	204218	958063-204218	LINESTRING(827.702 7290.566, 827.427063 7291.009766)
1	366105.8018189999856986	3952898447.4800000190734863	958063	400483	958063-400483	LINESTRING(827.702 7290.566, 827.6244 7290.433)
1	366105.8018189999856986	3952898447.4800000190734863	958064	7800	958064-7800	LINESTRING(828.051 7290.722, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958064	204203	958064-204203	LINESTRING(828.051 7290.722, 828.190979 7290.260254)
1	366105.8018189999856986	3952898447.4800000190734863	958064	204215	958064-204215	LINESTRING(828.051 7290.722, 827.880981 7290.720215)
1	366105.8018189999856986	3952898447.4800000190734863	958065	7800	958065-7800	LINESTRING(828.897 7291.733, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958065	204247	958065-204247	LINESTRING(828.897 7291.733, 828.669983 7291.80957)
1	366105.8018189999856986	3952898447.4800000190734863	958065	400475	958065-400475	LINESTRING(828.897 7291.733, 828.7719 7291.669)
1	366105.8018189999856986	3952898447.4800000190734863	958066	7800	958066-7800	LINESTRING(828.272 7293.675, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958066	7809	958066-7809	LINESTRING(828.272 7293.675, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958066	400446	958066-400446	LINESTRING(828.272 7293.675, 828.3741 7293.672)
1	366105.8018189999856986	3952898447.4800000190734863	958066	400447	958066-400447	LINESTRING(828.272 7293.675, 828.2406 7293.959)
1	366105.8018189999856986	3952898447.4800000190734863	958067	7808	958067-7808	LINESTRING(819.495 7298.975, 818.250977 7301.100098)
1	366105.8018189999856986	3952898447.4800000190734863	958067	204625	958067-204625	LINESTRING(819.495 7298.975, 819.034058 7299.819824)
1	366105.8018189999856986	3952898447.4800000190734863	958067	400458	958067-400458	LINESTRING(819.495 7298.975, 820.0067 7299.256)
1	366105.8018189999856986	3952898447.4800000190734863	958067	400459	958067-400459	LINESTRING(819.495 7298.975, 819.4714 7298.703)
1	366105.8018189999856986	3952898447.4800000190734863	958068	7808	958068-7808	LINESTRING(818.477 7299.843, 818.250977 7301.100098)
1	366105.8018189999856986	3952898447.4800000190734863	958068	204628	958068-204628	LINESTRING(818.477 7299.843, 818.948975 7299.859863)
1	366105.8018189999856986	3952898447.4800000190734863	958068	400462	958068-400462	LINESTRING(818.477 7299.843, 818.3488 7300.22)
1	366105.8018189999856986	3952898447.4800000190734863	958069	7808	958069-7808	LINESTRING(818.068 7300.949, 818.250977 7301.100098)
1	366105.8018189999856986	3952898447.4800000190734863	958069	204644	958069-204644	LINESTRING(818.068 7300.949, 816.843994 7300.509766)
1	366105.8018189999856986	3952898447.4800000190734863	958069	204652	958069-204652	LINESTRING(818.068 7300.949, 818.177002 7300.700195)
1	366105.8018189999856986	3952898447.4800000190734863	958070	7800	958070-7800	LINESTRING(833.468 7293.46, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958070	400466	958070-400466	LINESTRING(833.468 7293.46, 833.3587 7293.507)
1	366105.8018189999856986	3952898447.4800000190734863	958070	400467	958070-400467	LINESTRING(833.468 7293.46, 833.6676 7293.593)
1	366105.8018189999856986	3952898447.4800000190734863	958071	7800	958071-7800	LINESTRING(833.711 7293.199, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958071	400466	958071-400466	LINESTRING(833.711 7293.199, 833.3587 7293.507)
1	366105.8018189999856986	3952898447.4800000190734863	958071	400468	958071-400468	LINESTRING(833.711 7293.199, 834.0303 7293.337)
1	366105.8018189999856986	3952898447.4800000190734863	958071	400469	958071-400469	LINESTRING(833.711 7293.199, 833.7623 7292.775)
1	366105.8018189999856986	3952898447.4800000190734863	958072	7800	958072-7800	LINESTRING(826.777 7294.936, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958072	7809	958072-7809	LINESTRING(826.777 7294.936, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958072	204411	958072-204411	LINESTRING(826.777 7294.936, 826.705017 7295.290039)
1	366105.8018189999856986	3952898447.4800000190734863	958072	400450	958072-400450	LINESTRING(826.777 7294.936, 827.0853 7294.577)
1	366105.8018189999856986	3952898447.4800000190734863	958072	400451	958072-400451	LINESTRING(826.777 7294.936, 826.6833 7294.849)
1	366105.8018189999856986	3952898447.4800000190734863	958072	400452	958072-400452	LINESTRING(826.777 7294.936, 826.531 7295.126)
1	366105.8018189999856986	3952898447.4800000190734863	958073	7800	958073-7800	LINESTRING(824.165 7295.532, 829.953003 7292.369629)
1	366105.8018189999856986	3952898447.4800000190734863	958073	7809	958073-7809	LINESTRING(824.165 7295.532, 827.3261 7295.159)
1	366105.8018189999856986	3952898447.4800000190734863	958073	95132	958073-95132	LINESTRING(824.165 7295.532, 824.2924 7295.64)
1	366105.8018189999856986	3952898447.4800000190734863	958073	95133	958073-95133	LINESTRING(824.165 7295.532, 824.3576 7295.167)
1	366105.8018189999856986	3952898447.4800000190734863	958073	204415	958073-204415	LINESTRING(824.165 7295.532, 823.791016 7295.339844)
1	366105.8018189999856986	3952898447.4800000190734863	958073	204517	958073-204517	LINESTRING(824.165 7295.532, 823.218994 7297.149902)
